class,n,top1_acc,top5_acc,mean_top1_conf,most_common_top1_pred,most_common_top1_pred_ratio
bored,13,0.6153846153846154,1.0,0.5287796121377212,bored,0.6153846153846154
sweater,10,0.6,1.0,0.5665080517530441,sweater,0.6
pain,10,0.6,1.0,0.6812894403934479,pain,0.6
go,26,0.5769230769230769,0.9615384615384616,0.5758911927159016,go,0.5769230769230769
bath,14,0.5714285714285714,1.0,0.5777649900742939,bath,0.5714285714285714
danger,7,0.5714285714285714,0.8571428571428571,0.8158787872110095,danger,0.5714285714285714
happy,16,0.5625,1.0,0.5527479471638799,happy,0.5625
teeth,9,0.5555555555555556,0.8888888888888888,0.4405178957515293,teeth,0.5555555555555556
underwear,11,0.5454545454545454,1.0,0.8205831701105292,underwear,0.5454545454545454
approve,15,0.5333333333333333,1.0,0.5536429901917775,approve,0.5333333333333333
document,8,0.5,0.875,0.5839316174387932,document,0.5
diabetes,8,0.5,1.0,0.46532183326780796,diabetes,0.5
back,14,0.5,0.9285714285714286,0.6396585085562297,back,0.5
awful,12,0.5,0.9166666666666666,0.6942613199353218,awful,0.5
eyes,8,0.5,0.75,0.4087896663695574,eyes,0.5
eat,19,0.47368421052631576,0.9473684210526315,0.5040494634916908,eat,0.47368421052631576
check,17,0.47058823529411764,1.0,0.6534800564541536,check,0.47058823529411764
husband,15,0.4666666666666667,1.0,0.5511630167563756,husband,0.4666666666666667
cost,9,0.4444444444444444,0.8888888888888888,0.5086852527327008,cost,0.4444444444444444
i,7,0.42857142857142855,1.0,0.5783070581299918,infection,0.5714285714285714
napkin,10,0.4,0.9,0.615710100531578,napkin,0.4
we,10,0.4,0.9,0.5911454930901527,we,0.4
say,10,0.4,0.9,0.5054998368024826,say,0.4
mouth,10,0.4,0.8,0.45797310769557953,tooth,0.4
eye,8,0.375,0.875,0.45174524933099747,nose,0.5
bathroom,16,0.375,1.0,0.46190575510263443,toilet,0.625
prepare,11,0.36363636363636365,1.0,0.6517598872834985,plan,0.5454545454545454
ill,7,0.2857142857142857,1.0,0.74869476045881,sick,0.7142857142857143
tongue,8,0.25,0.75,0.4019900728017092,nose,0.375
stomach,12,0.25,1.0,0.7026265561580658,abdomen,0.75
before,26,0.19230769230769232,0.9615384615384616,0.5315947114275053,ago,0.38461538461538464
insurance,11,0.18181818181818182,1.0,0.6131093258207495,infection,0.8181818181818182
restroom,7,0.14285714285714285,0.8571428571428571,0.468634375504085,toilet,0.42857142857142855
afraid,8,0.125,1.0,0.6125483438372612,scared,0.625
